6,7,8,9,10,11,12,13,14,15,16,17,18
0,117.9,125.3,134.9,147.4,163.2,181.4,199.4,214.7,226.7,235.9,243,360
0,110.5333333,117.7666667,127.1,139.6333333,157.0333333,180,203.3,220.9666667,233.4666667,242.7,249.8,329.9
0,103.1666667,110.2333333,119.3,131.8666667,150.8666667,178.6,207.2,227.2333333,240.2333333,249.5,256.6,299.8
0,95.8,102.7,111.5,124.1,144.7,177.2,211.1,233.5,247,256.3,263.4,269.7
22.83333333,88.33333333,94.33333333,101.5,111.1666667,126.4666667,183.8666667,230.8,247.2666667,257.5333333,265.0333333,271.2,277.0333333
45.66666667,80.86666667,85.96666667,91.5,98.23333333,108.2333333,190.5333333,250.5,261.0333333,268.0666667,273.7666667,279,284.3666667
68.5,73.4,77.6,81.5,85.3,90,197.2,270.2,274.8,278.6,282.5,286.8,291.7
76,81.36666667,86.6,92.33333333,99.6,110.5333333,193.5333333,252.7,262.3333333,268.9,274.3333333,279.4666667,314.4666667
83.5,89.33333333,95.6,103.1666667,113.9,131.0666667,189.8666667,235.2,249.8666667,259.2,266.1666667,272.1333333,337.2333333
91,97.3,104.6,114,128.2,151.6,186.2,217.7,237.4,249.5,258,264.8,360
60.66666667,64.86666667,69.73333333,76,85.46666667,101.0666667,124.1333333,145.1333333,158.2666667,166.3333333,172,176.5333333,240
30.33333333,32.43333333,34.86666667,38,42.73333333,50.53333333,62.06666667,72.56666667,79.13333333,83.16666667,86,88.26666667,120
